id,next,desc,starLevel,playerLevel,worldLevel,levelMax,skillSlot,newSkill,hpAward,atkAward,resistAward,defAward,spdAward,itemNum,NeedItemsFun-type-1,NeedItemsFun-star-1,NeedItemsFun-num-1,NeedItemsFun-type-2,NeedItemsFun-star-2,NeedItemsFun-num-2,NeedItemsFun-type-3,NeedItemsFun-star-3,NeedItemsFun-num-3,NeedItemsFun-type-4,NeedItemsFun-star-4,NeedItemsFun-num-4,NeedItemsFun-type-5,NeedItemsFun-star-5,NeedItemsFun-num-5,specialItem,specialItemNum,specialItem2,specialItemNum2,herostar,heroNum,
234031,,s==4|楼玄5星,5,1,1,100,0,,,0,0,20,10,0,23403,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
234041,,s==5|诸葛恪5星,5,1,1,100,0,,,0,0,20,10,0,23404,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
234051,234052,s==5|诸葛瑾6星,6,1,1,145,5,2340522|2340532|2340542,5000,4000,0,20,10,0,23405,5,1,23403,5,1,2,5,3,,,,,,,,,,,,,
234052,234053,s==5|诸葛瑾7星,7,1,1,165,1,2340523,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
234053,234054,s==5|诸葛瑾8星,8,1,1,185,2,2340533,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
234054,,s==5|诸葛瑾9星,9,1,1,205,3,2340543,5000,4000,0,20,10,5000,23405,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
244011,,s==7|神·公孙瓒5星,5,1,1,100,0,,,0,0,20,10,0,24401,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
244021,244022,s==6|神·卢植6星,6,1,1,145,5,2440222|2440232|2440242,5000,4000,0,20,10,0,24402,5,1,24403,5,1,2,5,3,,,,,,,,,,,,,
244022,244023,s==6|神·卢植7星,7,1,1,165,1,2440223,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
244023,244024,s==6|神·卢植8星,8,1,1,185,2,2440233,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
244024,,s==6|神·卢植9星,9,1,1,205,3,2440243,5000,4000,0,20,10,5000,24402,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
244031,,s==6|神·陶谦5星,5,1,1,100,0,,,0,0,20,10,0,24403,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
244041,,s==6|神·沮授5星,5,1,1,100,0,,,0,0,20,10,0,24404,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
254011,254012,s==7|魔·刘三刀6星,6,1,1,145,5,2540122|2540132|2540142|2540152,5000,4000,0,20,10,0,25401,5,1,25404,5,1,2,5,3,,,,,,,,,,,,,
254012,254013,s==7|魔·刘三刀7星,7,1,1,165,1,2540123,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
254013,254014,s==7|魔·刘三刀8星,8,1,1,185,2,2540133,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
254014,254015,s==7|魔·刘三刀9星,9,1,1,205,3,2540143,5000,4000,0,20,10,5000,25401,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
254015,254016,s==8|魔·刘三刀10星,10,1,1,255,4,2540153,3000,2000,0,20,10,10000,25401,5,2,2,6,1,1,9,1,,,,,,,,,,,,,
254016,254017,s==8|魔·刘三刀11星,11,105,95,285,0,,3000,2000,0,20,10,15000,25401,6,1,1,9,1,,,,,,,,,,,,,,,,
254017,254018,s==8|魔·刘三刀12星,12,128,118,310,0,,3000,2000,0,20,10,20000,25401,6,1,1,10,1,,,,,,,,,,1048,20,,,,,
254018,254019,s==8|魔·刘三刀13星,13,148,138,350,0,,3000,2000,0,20,10,25000,25401,6,1,2,9,1,1,10,1,,,,,,,1048,40,,,,,
254019,,s==8|魔·刘三刀14星,14,200,138,390,0,,3000,2000,0,20,10,30000,25401,9,1,2,10,1,1,11,1,,,,,,,1048,60,6685,5,13,6,
254021,,s==6|魔·何进5星,5,1,1,100,0,,,0,0,20,10,0,25402,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
254031,,s==6|魔·张角5星,5,1,1,100,0,,,0,0,20,10,0,25403,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
254041,,s==6|魔·袁术5星,5,1,1,100,0,,,0,0,20,10,0,25404,4,2,2,4,5,2,3,4,,,,,,,,,,,,,
215011,215012,s==4|庞德6星,6,1,1,145,5,2150122|2150132|2150142,5000,4000,0,20,10,0,21501,5,1,21404,5,1,2,5,3,,,,,,,,,,,,,
215012,215013,s==4|庞德7星,7,1,1,165,1,2150123,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
215013,215014,s==4|庞德8星,8,1,1,185,2,2150133,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
215014,,s==4|庞德9星,9,1,1,205,3,2150143,5000,4000,0,20,10,5000,21501,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
215021,215022,s==4|张郃6星,6,1,1,145,5,2150222|2150232|2150242,5000,4000,0,20,10,0,21502,5,1,21401,5,1,2,5,3,,,,,,,,,,,,,
215022,215023,s==4|张郃7星,7,1,1,165,1,2150223,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
215023,215024,s==4|张郃8星,8,1,1,185,2,2150233,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
215024,,s==4|张郃9星,9,1,1,205,3,2150243,5000,4000,0,20,10,5000,21502,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
215031,215032,s==4|甄姬6星,6,1,1,145,5,2150322|2150332|2150342|2150352,5000,4000,0,20,10,0,21503,5,1,21402,5,1,2,5,3,,,,,,,,,,,,,
215032,215033,s==4|甄姬7星,7,1,1,165,1,2150323,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
215033,215034,s==4|甄姬8星,8,1,1,185,2,2150333,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
215034,215035,s==4|甄姬9星,9,1,1,205,3,2150343,5000,4000,0,20,10,5000,21503,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
215035,215036,s==5|甄姬10星,10,1,1,255,4,2150353,3000,2000,0,20,10,10000,21503,5,2,2,6,1,1,9,1,,,,,,,,,,,,,
215036,215037,s==5|甄姬11星,11,105,95,285,0,,3000,2000,0,20,10,15000,21503,6,1,1,9,1,,,,,,,,,,,,,,,,
215037,215038,s==5|甄姬12星,12,128,118,310,0,,3000,2000,0,20,10,20000,21503,6,1,1,10,1,,,,,,,,,,1048,20,,,,,
215038,215039,s==5|甄姬13星,13,148,138,350,0,,3000,2000,0,20,10,25000,21503,6,1,2,9,1,1,10,1,,,,,,,1048,40,,,,,
215039,,s==5|甄姬14星,14,200,138,390,0,,3000,2000,0,20,10,30000,21503,9,1,2,10,1,1,11,1,,,,,,,1048,60,6685,5,13,6,
21503011,21503012,s==4|甄姬6星,6,1,1,145,5,215030122|215030132|215030142|215030152,5000,4000,0,20,10,0,21503,5,1,21402,5,1,2,5,3,,,,,,,,,,,,,
21503012,21503013,s==4|甄姬7星,7,1,1,165,1,215030123,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
21503013,21503014,s==4|甄姬8星,8,1,1,185,2,215030133,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
21503014,21503015,s==4|甄姬9星,9,1,1,205,3,215030143,5000,4000,0,20,10,5000,21503,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
21503015,21503016,s==5|甄姬10星,10,1,1,255,4,215030153,3000,2000,0,20,10,10000,21503,5,2,2,6,1,1,9,1,,,,,,,,,,,,,
21503016,21503017,s==5|甄姬11星,11,105,95,285,0,,3000,2000,0,20,10,15000,21503,6,1,1,9,1,,,,,,,,,,,,,,,,
21503017,21503018,s==5|甄姬12星,12,128,118,310,0,,3000,2000,0,20,10,20000,21503,6,1,1,10,1,,,,,,,,,,1048,20,,,,,
21503018,21503019,s==5|甄姬13星,13,148,138,350,0,,3000,2000,0,20,10,25000,21503,6,1,2,9,1,1,10,1,,,,,,,1048,40,,,,,
21503019,,s==5|甄姬14星,14,200,138,390,0,,3000,2000,0,20,10,30000,21503,9,1,2,10,1,1,11,1,,,,,,,1048,60,6685,5,13,6,
215041,215042,s==4|王异6星,6,1,1,145,5,2150422|2150432|2150442|2150452,5000,4000,0,20,10,0,21504,5,1,21403,5,1,2,5,3,,,,,,,,,,,,,
215042,215043,s==4|王异7星,7,1,1,165,1,2150423,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
215043,215044,s==4|王异8星,8,1,1,185,2,2150433,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
215044,215045,s==4|王异9星,9,1,1,205,3,2150443,5000,4000,0,20,10,5000,21504,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
215045,215046,s==5|王异10星,10,1,1,255,4,2150453,3000,2000,0,20,10,10000,21504,5,2,2,6,1,1,9,1,,,,,,,,,,,,,
215046,215047,s==5|王异11星,11,105,95,285,0,,3000,2000,0,20,10,15000,21504,6,1,1,9,1,,,,,,,,,,,,,,,,
215047,215048,s==5|王异12星,12,128,118,310,0,,3000,2000,0,20,10,20000,21504,6,1,1,10,1,,,,,,,,,,1048,20,,,,,
215048,215049,s==5|王异13星,13,148,138,350,0,,3000,2000,0,20,10,25000,21504,6,1,2,9,1,1,10,1,,,,,,,1048,40,,,,,
215049,,s==5|王异14星,14,200,138,390,0,,3000,2000,0,20,10,30000,21504,9,1,2,10,1,1,11,1,,,,,,,1048,60,6685,5,13,6,
21504011,21504012,s==4|王异6星,6,1,1,145,5,215041122|215041132|215041142|215041152,5000,4000,0,20,10,0,21504,5,1,21403,5,1,2,5,3,,,,,,,,,,,,,
21504012,21504013,s==4|王异7星,7,1,1,165,1,215041123,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
21504013,21504014,s==4|王异8星,8,1,1,185,2,215041133,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
21504014,21504015,s==4|王异9星,9,1,1,205,3,215041143,5000,4000,0,20,10,5000,21504,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
21504015,21504016,s==5|王异10星,10,1,1,255,4,215041153,3000,2000,0,20,10,10000,21504,5,2,2,6,1,1,9,1,,,,,,,,,,,,,
21504016,21504017,s==5|王异11星,11,105,95,285,0,,3000,2000,0,20,10,15000,21504,6,1,1,9,1,,,,,,,,,,,,,,,,
21504017,21504018,s==5|王异12星,12,128,118,310,0,,3000,2000,0,20,10,20000,21504,6,1,1,10,1,,,,,,,,,,1048,20,,,,,
21504018,21504019,s==5|王异13星,13,148,138,350,0,,3000,2000,0,20,10,25000,21504,6,1,2,9,1,1,10,1,,,,,,,1048,40,,,,,
21504019,,s==5|王异14星,14,200,138,390,0,,3000,2000,0,20,10,30000,21504,9,1,2,10,1,1,11,1,,,,,,,1048,60,6685,5,13,6,
215051,215052,s==4|典韦6星,6,1,1,145,5,2150522|2150532|2150542|2150552,5000,4000,0,20,10,0,21505,5,1,21404,5,1,2,5,3,,,,,,,,,,,,,
215052,215053,s==4|典韦7星,7,1,1,165,1,2150523,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
215053,215054,s==4|典韦8星,8,1,1,185,2,2150533,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
215054,215055,s==4|典韦9星,9,1,1,205,3,2150543,5000,4000,0,20,10,5000,21505,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
215055,215056,s==5|典韦10星,10,1,1,255,4,2150553,3000,2000,0,20,10,10000,21505,5,2,2,6,1,1,9,1,,,,,,,,,,,,,
215056,215057,s==5|典韦11星,11,105,95,285,0,,3000,2000,0,20,10,15000,21505,6,1,1,9,1,,,,,,,,,,,,,,,,
215057,215058,s==5|典韦12星,12,128,118,310,0,,3000,2000,0,20,10,20000,21505,6,1,1,10,1,,,,,,,,,,1048,20,,,,,
215058,215059,s==5|典韦13星,13,148,138,350,0,,3000,2000,0,20,10,25000,21505,6,1,2,9,1,1,10,1,,,,,,,1048,40,,,,,
215059,,s==5|典韦14星,14,200,138,390,0,,3000,2000,0,20,10,30000,21505,9,1,2,10,1,1,11,1,,,,,,,1048,60,6685,5,13,6,
215061,215062,s==5|司马懿6星,6,1,1,145,5,2150622|2150632|2150642|2150652,5000,4000,0,20,10,0,21506,5,1,21402,5,1,2,5,3,,,,,,,,,,,,,
215062,215063,s==5|司马懿7星,7,1,1,165,1,2150622,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
215063,215064,s==5|司马懿8星,8,1,1,185,2,2150632,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
215064,215065,s==5|司马懿9星,9,1,1,205,3,2150642,5000,4000,0,20,10,5000,21506,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
215065,215066,s==6|司马懿10星,10,1,1,255,4,2150652,3000,2000,0,20,10,10000,21506,5,2,2,6,1,1,9,1,,,,,,,,,,,,,
215066,215067,s==6|司马懿11星,11,105,95,285,0,,3000,2000,0,20,10,15000,21506,6,1,1,9,1,,,,,,,,,,,,,,,,
215067,215068,s==6|司马懿12星,12,128,118,310,0,,3000,2000,0,20,10,20000,21506,6,1,1,10,1,,,,,,,,,,1048,20,,,,,
215068,215069,s==6|司马懿13星,13,148,138,350,0,,3000,2000,0,20,10,25000,21506,6,1,2,9,1,1,10,1,,,,,,,1048,40,,,,,
215069,,s==6|司马懿14星,14,200,138,390,0,,3000,2000,0,20,10,30000,21506,9,1,2,10,1,1,11,1,,,,,,,1048,60,6685,5,13,6,
215071,215072,s==4|郭嘉6星,6,1,1,145,5,2150722|2150732|2150742|2150752,5000,4000,0,20,10,0,21507,5,1,21401,5,1,2,5,3,,,,,,,,,,,,,
215072,215073,s==4|郭嘉7星,7,1,1,165,1,2150723,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
215073,215074,s==4|郭嘉8星,8,1,1,185,2,2150733,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
215074,215075,s==4|郭嘉9星,9,1,1,205,3,2150743,5000,4000,0,20,10,5000,21507,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
215075,215076,s==5|郭嘉10星,10,1,1,255,4,2150753,3000,2000,0,20,10,10000,21507,5,2,2,6,1,1,9,1,,,,,,,,,,,,,
215076,215077,s==5|郭嘉11星,11,105,95,285,0,,3000,2000,0,20,10,15000,21507,6,1,1,9,1,,,,,,,,,,,,,,,,
215077,215078,s==5|郭嘉12星,12,128,118,310,0,,3000,2000,0,20,10,20000,21507,6,1,1,10,1,,,,,,,,,,1048,20,,,,,
215078,215079,s==5|郭嘉13星,13,148,138,350,0,,3000,2000,0,20,10,25000,21507,6,1,2,9,1,1,10,1,,,,,,,1048,40,,,,,
215079,,s==5|郭嘉14星,14,200,138,390,0,,3000,2000,0,20,10,30000,21507,9,1,2,10,1,1,11,1,,,,,,,1048,60,6685,5,13,6,
21507011,21507012,s==4|郭嘉6星,6,1,1,145,5,215070122|215070132|215070142|215070152,5000,4000,0,20,10,0,21507,5,1,21401,5,1,2,5,3,,,,,,,,,,,,,
21507012,21507013,s==4|郭嘉7星,7,1,1,165,1,215070123,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
21507013,21507014,s==4|郭嘉8星,8,1,1,185,2,215070133,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
21507014,21507015,s==4|郭嘉9星,9,1,1,205,3,215070143,5000,4000,0,20,10,5000,21507,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
21507015,21507016,s==5|郭嘉10星,10,1,1,255,4,215070153,3000,2000,0,20,10,10000,21507,5,2,2,6,1,1,9,1,,,,,,,,,,,,,
21507016,21507017,s==5|郭嘉11星,11,105,95,285,0,,3000,2000,0,20,10,15000,21507,6,1,1,9,1,,,,,,,,,,,,,,,,
21507017,21507018,s==5|郭嘉12星,12,128,118,310,0,,3000,2000,0,20,10,20000,21507,6,1,1,10,1,,,,,,,,,,1048,20,,,,,
21507018,21507019,s==5|郭嘉13星,13,148,138,350,0,,3000,2000,0,20,10,25000,21507,6,1,2,9,1,1,10,1,,,,,,,1048,40,,,,,
21507019,,s==5|郭嘉14星,14,200,138,390,0,,3000,2000,0,20,10,30000,21507,9,1,2,10,1,1,11,1,,,,,,,1048,60,6685,5,13,6,
215081,215082,s==4|张辽6星,6,1,1,145,5,2150822|2150832|2150842|2150852,5000,4000,0,20,10,0,21508,5,1,21403,5,1,2,5,3,,,,,,,,,,,,,
215082,215083,s==4|张辽7星,7,1,1,165,1,2150823,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
215083,215084,s==4|张辽8星,8,1,1,185,2,2150833,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
215084,215085,s==4|张辽9星,9,1,1,205,3,2150843,5000,4000,0,20,10,5000,21508,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
215085,215086,s==5|张辽10星,10,1,1,255,4,2150853,3000,2000,0,20,10,10000,21508,5,2,2,6,1,1,9,1,,,,,,,,,,,,,
215086,215087,s==5|张辽11星,11,105,95,285,0,,3000,2000,0,20,10,15000,21508,6,1,1,9,1,,,,,,,,,,,,,,,,
215087,215088,s==5|张辽12星,12,128,118,310,0,,3000,2000,0,20,10,20000,21508,6,1,1,10,1,,,,,,,,,,1048,20,,,,,
215088,215089,s==5|张辽13星,13,148,138,350,0,,3000,2000,0,20,10,25000,21508,6,1,2,9,1,1,10,1,,,,,,,1048,40,,,,,
215089,,s==5|张辽14星,14,200,138,390,0,,3000,2000,0,20,10,30000,21508,9,1,2,10,1,1,11,1,,,,,,,1048,60,6685,5,13,6,
215091,215092,s==4|废弃6星,6,1,1,145,5,2150621|2150631|2150641|2150651,5000,4000,0,20,10,0,21509,5,1,21404,5,1,2,5,3,,,,,,,,,,,,,
215092,215093,s==4|废弃7星,7,1,1,165,1,2150621,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
215093,215094,s==4|废弃8星,8,1,1,185,2,2150631,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
215094,215095,s==4|废弃9星,9,1,1,205,3,2150641,5000,4000,0,20,10,5000,21509,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
215095,215096,s==5|废弃10星,10,1,1,255,4,2150651,3000,2000,0,20,10,10000,21509,5,2,2,6,1,1,9,1,,,,,,,,,,,,,
215096,215097,s==5|废弃11星,11,105,95,285,0,,3000,2000,0,20,10,15000,21509,6,1,1,9,1,,,,,,,,,,,,,,,,
215097,215098,s==5|废弃12星,12,128,118,310,0,,3000,2000,0,20,10,20000,21509,6,1,1,10,1,,,,,,,,,,1048,20,,,,,
215098,215099,s==5|废弃13星,13,148,138,350,0,,3000,2000,0,20,10,25000,21509,6,1,2,9,1,1,10,1,,,,,,,1048,40,,,,,
215099,,s==5|废弃14星,14,200,138,390,0,,3000,2000,0,20,10,30000,21509,9,1,2,10,1,1,11,1,,,,,,,1048,60,6685,5,13,6,
215101,215102,s==4|许褚6星,6,1,1,145,5,2151022|2151032|2151042|2151052,5000,4000,0,20,10,0,21510,5,1,21403,5,1,2,5,3,,,,,,,,,,,,,
215102,215103,s==4|许褚7星,7,1,1,165,1,2151023,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
215103,215104,s==4|许褚8星,8,1,1,185,2,2151033,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
215104,215105,s==4|许褚9星,9,1,1,205,3,2151043,5000,4000,0,20,10,5000,21510,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
215105,215106,s==5|许褚10星,10,1,1,255,4,2151053,3000,2000,0,20,10,10000,21510,5,2,2,6,1,1,9,1,,,,,,,,,,,,,
215106,215107,s==5|许褚11星,11,105,95,285,0,,3000,2000,0,20,10,15000,21510,6,1,1,9,1,,,,,,,,,,,,,,,,
215107,215108,s==5|许褚12星,12,128,118,310,0,,3000,2000,0,20,10,20000,21510,6,1,1,10,1,,,,,,,,,,1048,20,,,,,
215108,215109,s==5|许褚13星,13,148,138,350,0,,3000,2000,0,20,10,25000,21510,6,1,2,9,1,1,10,1,,,,,,,1048,40,,,,,
215109,,s==5|许褚14星,14,200,138,390,0,,3000,2000,0,20,10,30000,21510,9,1,2,10,1,1,11,1,,,,,,,1048,60,6685,5,13,6,
21510011,21510012,s==4|许褚6星,6,1,1,145,5,215100122|215100132|215100142|215100152,5000,4000,0,20,10,0,21510,5,1,21403,5,1,2,5,3,,,,,,,,,,,,,
21510012,21510013,s==4|许褚7星,7,1,1,165,1,215100123,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
21510013,21510014,s==4|许褚8星,8,1,1,185,2,215100133,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
21510014,21510015,s==4|许褚9星,9,1,1,205,3,215100143,5000,4000,0,20,10,5000,21510,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
21510015,21510016,s==5|许褚10星,10,1,1,255,4,215100153,3000,2000,0,20,10,10000,21510,5,2,2,6,1,1,9,1,,,,,,,,,,,,,
21510016,21510017,s==5|许褚11星,11,105,95,285,0,,3000,2000,0,20,10,15000,21510,6,1,1,9,1,,,,,,,,,,,,,,,,
21510017,21510018,s==5|许褚12星,12,128,118,310,0,,3000,2000,0,20,10,20000,21510,6,1,1,10,1,,,,,,,,,,1048,20,,,,,
21510018,21510019,s==5|许褚13星,13,148,138,350,0,,3000,2000,0,20,10,25000,21510,6,1,2,9,1,1,10,1,,,,,,,1048,40,,,,,
21510019,,s==5|许褚14星,14,200,138,390,0,,3000,2000,0,20,10,30000,21510,9,1,2,10,1,1,11,1,,,,,,,1048,60,6685,5,13,6,
21510021,21510022,s==4|许褚6星,6,1,1,145,5,215100222|215100232|215100242|215100252,5000,4000,0,20,10,0,21510,5,1,21403,5,1,2,5,3,,,,,,,,,,,,,
21510022,21510023,s==4|许褚7星,7,1,1,165,1,215100223,5000,4000,0,20,10,1000,2,5,4,,,,,,,,,,,,,,,,,,,
21510023,21510024,s==4|许褚8星,8,1,1,185,2,215100233,5000,4000,0,20,10,2000,2,5,3,2,6,1,,,,,,,,,,,,,,,,
21510024,21510025,s==4|许褚9星,9,1,1,205,3,215100243,5000,4000,0,20,10,5000,21510,5,1,2,5,2,2,6,1,,,,,,,,,,,,,
21510025,21510026,s==5|许褚10星,10,1,1,255,4,215100253,3000,2000,0,20,10,10000,21510,5,2,2,6,1,1,9,1,,,,,,,,,,,,,
21510026,21510027,s==5|许褚11星,11,105,95,285,0,,3000,2000,0,20,10,15000,21510,6,1,1,9,1,,,,,,,,,,,,,,,,
