id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,
1,2,1522,1,1,9,225,5,2,,1,,,s==4|招贤锦囊,450,5,1,
28,2,1009,2,1,9,120,1,4,,7,,,s==4|配饰之魂,400,3,1,
29,2,1010,4,1,9,120,1,4,,7,,,s==5|配饰精炼石,400,3,1,
30,2,1008,50,1,9,375,1,4,,7,,,s==4|配饰碎片,750,5,1,
31,2,1009,2,1,9,120,1,4,,8,,,s==4|配饰之魂,400,3,1,
32,2,1010,4,1,9,120,1,4,,8,,,s==5|配饰精炼石,400,3,1,
33,2,1008,50,1,9,375,1,4,,8,,,s==4|配饰碎片,750,5,1,
34,2,1009,2,1,9,120,1,4,,9,,,s==4|配饰之魂,400,3,1,
35,2,1010,4,1,9,120,1,4,,9,,,s==5|配饰精炼石,400,3,1,
36,2,1008,50,1,9,375,1,4,,9,,,s==4|配饰碎片,750,5,1,
37,2,1004,1,1,9,150,1,4,,10,,,s==3|聚贤令,1500,1,1,
38,2,1006,500,1,9,150,1,4,,10,,,s==3|将印石,500,3,8,
39,2,1520,1,1,9,400,1,4,,10,,,s==8|橙色星石自选礼包,1000,4,7,
40,2,1520,1,1,9,400,1,4,,11,,,s==8|橙色星石自选礼包,1000,4,7,
41,2,1004,1,1,9,150,1,4,,11,,,s==3|聚贤令,1500,1,1,
42,2,1006,500,1,9,150,1,4,,11,,,s==3|将印石,500,3,1,
43,2,1520,1,1,9,400,1,4,,12,,,s==8|橙色星石自选礼包,1000,4,7,
44,2,1004,1,1,9,150,1,4,,12,,,s==3|聚贤令,1500,1,1,
45,2,1006,500,1,9,150,1,4,,12,,,s==3|将印石,500,3,1,
46,2,1520,1,1,9,400,1,4,,13,,,s==8|橙色星石自选礼包,1000,4,7,
47,2,1004,1,1,9,150,1,4,,13,,,s==3|聚贤令,1500,1,1,
48,2,1006,500,1,9,150,1,4,,13,,,s==3|将印石,500,3,1,
49,2,1520,1,1,9,400,1,4,,14,,,s==8|橙色星石自选礼包,1000,4,7,
50,2,1004,1,1,9,150,1,4,,14,,,s==3|聚贤令,1500,1,1,
51,2,1006,500,1,9,150,1,4,,14,,,s==3|将印石,500,3,1,
52,2,1520,1,1,9,400,1,4,,15,,,s==8|橙色星石自选礼包,1000,4,7,
53,2,1004,1,1,9,150,1,4,,15,,,s==3|聚贤令,1500,1,1,
54,2,1006,500,1,9,150,1,4,,15,,,s==3|将印石,500,3,1,
55,2,1520,1,1,9,400,1,4,,16,,,s==8|橙色星石自选礼包,1000,4,7,
56,2,1004,1,1,9,150,1,4,,16,,,s==3|聚贤令,1500,1,1,
57,2,1006,500,1,9,150,1,4,,16,,,s==3|将印石,500,3,1,
58,2,1520,1,1,9,400,1,4,,17,,,s==8|橙色星石自选礼包,1000,4,7,
59,2,1004,1,1,9,150,1,4,,17,,,s==3|聚贤令,1500,1,1,
60,2,1006,500,1,9,150,1,4,,17,,,s==3|将印石,500,3,1,
61,2,1520,1,1,9,400,1,4,,18,,,s==8|橙色星石自选礼包,1000,4,7,
62,2,1004,1,1,9,150,1,4,,18,,,s==3|聚贤令,1500,1,1,
63,2,1006,500,1,9,150,1,4,,18,,,s==3|将印石,500,3,1,
64,2,1520,1,1,9,400,1,4,,19,,,s==8|橙色星石自选礼包,1000,4,7,
65,2,1004,1,1,9,150,1,4,,19,,,s==3|聚贤令,1500,1,1,
66,2,1006,500,1,9,150,1,4,,19,,,s==3|将印石,500,3,1,
67,2,1520,1,1,9,400,1,4,,20,,,s==8|橙色星石自选礼包,1000,4,7,
68,2,1004,1,1,9,150,1,4,,20,,,s==3|聚贤令,1500,1,1,
69,2,1006,500,1,9,150,1,4,,20,,,s==3|将印石,500,3,1,
